# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  1 07:37:32 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_massj,pl_msinij,st_mass
71,CoRoT-23,b,Transit,1,3.63130000,0.048000,2.80000,,1.14
72,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.01800,,0.91
73,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.08800,,0.91
74,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.27000,,1.09
75,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.52000,,1.09
76,CoRoT-27,b,Transit,1,3.57532000,0.047600,10.39000,,1.05
77,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.48400,,1.01
78,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.85000,,0.97
79,CoRoT-3,b,Transit,1,4.25680000,,21.66000,,1.37
80,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.72000,,1.16
81,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.46700,,1.00
82,CoRoT-6,b,Transit,1,8.88659300,0.085500,2.96000,,1.05
83,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.01800,,0.91
84,CoRoT-7,c,Radial Velocity,2,3.69800000,0.046000,0.02643,,0.91
85,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.22000,,0.88
86,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.84000,,0.99
87,DENIS-P J082303.1-491201,b,Astrometry,1,246.36000000,0.360000,28.50000,,0.07
88,DH Tau,b,Imaging,1,,330.000000,11.00000,,0.33
89,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,8.190000,,6.05000,0.69
90,FU Tau,b,Imaging,1,,800.000000,15.71100,,
91,Fomalhaut,b,Imaging,1,318280.00000000,115.000000,2.60000,,2.00
92,GJ 1214,b,Transit,1,1.58040482,,0.02000,,0.16
93,GJ 15 A,b,Radial Velocity,1,11.44330000,0.071700,,0.01700,0.38
94,GJ 163,b,Radial Velocity,3,8.63100000,0.061000,,0.03500,0.40
95,GJ 163,c,Radial Velocity,3,25.60000000,0.130000,,0.02400,0.40
96,GJ 163,d,Radial Velocity,3,603.00000000,1.000000,,0.07900,0.40
97,GJ 179,b,Radial Velocity,1,2288.00000000,2.410000,,0.82000,0.36
98,GJ 3021,b,Radial Velocity,1,133.71000000,0.490000,,3.37000,0.90
99,GJ 317,b,Radial Velocity,1,692.00000000,1.150000,2.50000,1.80000,0.42
100,GJ 328,b,Radial Velocity,1,4100.00000000,4.500000,,2.30000,0.69
101,GJ 3293,b,Radial Velocity,2,30.60000000,0.143400,,0.08100,0.42
102,GJ 3293,c,Radial Velocity,2,123.75000000,0.364000,,0.08100,0.42
103,GJ 3341,b,Radial Velocity,1,14.20700000,0.089000,,0.02080,0.47
104,GJ 3470,b,Radial Velocity,1,3.33664870,0.031000,0.04300,,0.51
105,GJ 3634,b,Radial Velocity,1,2.64561000,0.028700,0.02600,0.02200,0.45
106,GJ 433,b,Radial Velocity,1,7.37090000,0.058000,,0.01800,0.48
107,GJ 436,b,Radial Velocity,1,2.64388312,0.029100,0.07000,,0.47
108,GJ 504,b,Imaging,1,,43.500000,4.00000,,1.22
109,GJ 581,b,Radial Velocity,3,5.36860000,0.040610,,0.04970,0.31
110,GJ 581,c,Radial Velocity,3,12.91400000,0.072100,,0.01730,0.31
111,GJ 581,e,Radial Velocity,3,3.14900000,0.028150,,0.00530,0.31
112,GJ 649,b,Radial Velocity,1,598.30000000,1.135000,,0.32800,0.54
113,GJ 667 C,b,Radial Velocity,5,7.20040000,0.050500,,0.01800,0.33
114,GJ 667 C,c,Radial Velocity,5,28.14000000,0.125000,,0.01200,0.33
115,GJ 667 C,e,Radial Velocity,5,62.24000000,0.213000,,0.00800,0.33
116,GJ 667 C,f,Radial Velocity,5,39.02600000,0.156000,,0.00800,0.33
117,GJ 667 C,g,Radial Velocity,5,256.20000000,0.549000,,0.01400,0.33
118,GJ 674,b,Radial Velocity,1,4.69380000,0.039000,,0.03500,0.35
119,GJ 676 A,b,Radial Velocity,3,1050.30000000,1.800000,,4.95000,0.71
120,GJ 676 A,d,Radial Velocity,3,3.60000000,0.041300,,0.01400,0.71
121,GJ 676 A,e,Radial Velocity,3,35.37000000,0.187000,,0.03600,0.71
122,GJ 687,b,Radial Velocity,1,38.14000000,0.163530,,0.05800,0.41
123,GJ 832,b,Radial Velocity,2,3657.00000000,3.560000,,0.68000,0.45
124,GJ 832,c,Radial Velocity,2,35.68000000,0.163000,,0.01700,0.45
125,GJ 849,b,Radial Velocity,1,1845.00000000,2.320000,,0.91000,0.49
126,GJ 86,b,Radial Velocity,1,15.76491000,0.113000,,3.91000,0.77
127,GJ 876,b,Radial Velocity,4,61.11660000,0.208317,2.27560,,0.33
128,GJ 876,c,Radial Velocity,4,30.08810000,0.129590,0.71420,,0.33
129,GJ 876,d,Radial Velocity,4,1.93778000,0.020807,0.02100,,0.33
130,GJ 876,e,Radial Velocity,4,124.26000000,0.334300,0.04600,,0.33
131,GQ Lup,b,Imaging,1,,100.000000,20.00000,,0.70
132,GSC 06214-00210,b,Imaging,1,,320.000000,16.00000,,0.90
133,GU Psc,b,Imaging,1,,2000.000000,11.30000,,0.33
134,HAT-P-1,b,Transit,1,4.46529976,0.055610,0.52500,0.52400,1.15
135,HAT-P-11,b,Transit,1,4.88781620,0.053000,0.08100,,0.81
136,HAT-P-12,b,Transit,1,3.21305980,0.038400,0.21100,,0.73
137,HAT-P-13,b,Transit,2,2.91625000,,0.85100,,1.22
138,HAT-P-13,c,Radial Velocity,2,446.27000000,,,14.28000,1.22
139,HAT-P-14,b,Transit,1,4.62766900,0.060600,2.23200,,1.39
140,HAT-P-15,b,Transit,1,10.86350200,0.096400,1.94600,,1.01
141,HAT-P-16,b,Transit,1,2.77596000,0.041300,4.19300,,1.22
142,HAT-P-17,b,Transit,2,10.33852300,0.088200,0.53400,,0.86
143,HAT-P-17,c,Radial Velocity,2,5584.00000000,5.600000,,3.40000,0.86
144,HAT-P-18,b,Transit,1,5.50802300,0.055900,0.19700,,0.77
145,HAT-P-19,b,Transit,1,4.00877800,0.046600,0.29200,,0.84
146,HAT-P-2,b,Transit,1,5.63347290,0.068780,9.09000,,1.36
147,HAT-P-20,b,Transit,1,2.87531700,0.036100,7.24600,,0.76
148,HAT-P-21,b,Transit,1,4.12448100,0.049400,4.06300,,0.95
149,HAT-P-22,b,Transit,1,3.21222000,0.041400,2.14700,,0.92
150,HAT-P-23,b,Transit,1,1.21288287,0.023020,2.07000,,1.10
151,HAT-P-24,b,Transit,1,3.35524000,0.046500,0.68500,,1.19
152,HAT-P-25,b,Transit,1,3.65283600,0.046600,0.56700,,1.01
153,HAT-P-26,b,Transit,1,4.23451600,0.047900,0.05900,,0.82
154,HAT-P-27,b,Transit,1,3.03957700,0.040000,0.62000,,0.94
155,HAT-P-28,b,Transit,1,3.25721500,0.043400,0.62600,,1.02
156,HAT-P-29,b,Transit,1,5.72318600,0.066700,0.77800,,1.21
157,HAT-P-3,b,Transit,1,2.89973600,0.038660,0.59100,,0.92
158,HAT-P-30,b,Transit,1,2.81059500,0.041900,0.71100,,1.24
159,HAT-P-31,b,Transit,1,5.00542500,0.055000,2.17100,,1.22
160,HAT-P-32,b,Transit,1,2.15000805,0.034300,,,
161,HAT-P-33,b,Transit,1,3.47447400,0.049900,0.76200,,1.38
162,HAT-P-34,b,Transit,1,5.45265400,0.067700,3.32800,,1.39
163,HAT-P-35,b,Transit,1,3.64670600,0.049800,1.05400,,1.24
164,HAT-P-36,b,Transit,1,1.32734700,0.023800,1.83200,,1.02
165,HAT-P-37,b,Transit,1,2.79743600,0.037900,1.16900,,0.93
166,HAT-P-38,b,Transit,1,4.64038200,0.052300,0.26700,,0.89
167,HAT-P-39,b,Transit,1,3.54387000,0.050900,0.59900,,1.40
168,HAT-P-4,b,Transit,1,3.05653600,0.044380,0.67100,,1.26
169,HAT-P-40,b,Transit,1,4.45724300,0.060800,0.61500,,1.51
170,HAT-P-41,b,Transit,1,2.69404700,0.042600,0.80000,,1.42
171,HAT-P-42,b,Transit,1,4.64187800,0.057500,1.04400,,1.18
172,HAT-P-43,b,Transit,1,3.33268700,0.044300,0.66200,,1.05
173,HAT-P-44,b,Transit,2,4.30121900,0.050700,0.35200,,0.94
174,HAT-P-44,c,Radial Velocity,2,872.20000000,1.752000,,4.00000,0.94
175,HAT-P-45,b,Transit,1,3.12899200,0.045200,0.89200,,1.26
176,HAT-P-46,b,Transit,1,4.46312900,0.057700,0.49300,,1.28
177,HAT-P-49,b,Transit,1,2.69154800,0.043800,1.73000,,1.54
178,HAT-P-5,b,Transit,1,2.78849100,0.040750,1.06000,,1.16
179,HAT-P-54,b,Transit,1,3.79984700,0.041170,0.76000,,0.65
180,HAT-P-55,b,Transit,1,3.58524670,0.046040,0.58200,,1.01
181,HAT-P-56,b,Transit,1,2.79083270,0.042300,2.18000,,1.30
182,HAT-P-6,b,Transit,1,3.85298500,0.052350,1.05700,,1.29
183,HAT-P-7,b,Transit,1,2.20473700,0.037700,1.77600,,1.47
184,HAT-P-8,b,Transit,1,3.07637760,0.048700,1.52000,,1.28
185,HAT-P-9,b,Transit,1,3.92289000,0.053000,0.78000,,1.28
186,HATS-1,b,Transit,1,3.44645900,0.044400,1.85500,,0.99
187,HATS-10,b,Transit,1,3.31284600,0.044910,0.52600,,1.10
188,HATS-13,b,Transit,1,3.04404990,0.040570,0.54300,,0.96
189,HATS-14,b,Transit,1,2.76676410,0.038150,1.07100,,0.97
190,HATS-2,b,Transit,1,1.35413300,0.023000,1.34500,,0.88
191,HATS-3,b,Transit,1,3.54785100,0.048500,1.07100,,1.21
192,HATS-4,b,Transit,1,2.51672900,0.036200,1.32300,,1.00
193,HATS-5,b,Transit,1,4.76338700,0.054200,0.23700,,0.94
194,HATS-6,b,Transit,1,3.32527250,0.036230,0.31900,,0.57
195,HATS-8,b,Transit,1,3.58389300,0.046670,0.13800,,1.06
196,HATS-9,b,Transit,1,1.91530730,0.030480,0.83700,,1.03
197,HD 100546,b,Imaging,1,,53.000000,,,2.40
198,HD 100655,b,Radial Velocity,1,157.57000000,0.760000,,1.70000,
199,HD 100777,b,Radial Velocity,1,383.70000000,1.030000,,1.16000,1.01
200,HD 10180,c,Radial Velocity,6,5.75969000,0.064120,,0.04160,1.06
201,HD 10180,d,Radial Velocity,6,16.35700000,0.128590,,0.03780,1.06
202,HD 10180,e,Radial Velocity,6,49.74800000,0.269900,,0.08050,1.06
203,HD 10180,f,Radial Velocity,6,122.74400000,0.492900,,0.07220,1.06
204,HD 10180,g,Radial Velocity,6,604.67000000,1.427000,,0.07320,1.06
205,HD 10180,h,Radial Velocity,6,2205.00000000,3.381000,,0.20660,1.06
206,HD 101930,b,Radial Velocity,1,70.46000000,0.302000,,0.30000,
207,HD 102117,b,Radial Velocity,1,20.81330000,0.153200,,0.17200,
208,HD 102195,b,Radial Velocity,1,4.11377500,,,0.45000,
209,HD 102272,b,Radial Velocity,1,127.58000000,0.614000,,5.90000,
210,HD 102329,b,Radial Velocity,1,778.10000000,2.030000,,5.90000,
211,HD 102365,b,Radial Velocity,1,122.10000000,0.460000,,0.05000,
212,HD 102956,b,Radial Velocity,1,6.49500000,0.081000,,0.96000,1.68
213,HD 103197,b,Radial Velocity,1,47.84000000,0.249000,,0.09800,0.90
214,HD 103720,b,Radial Velocity,1,4.55570000,0.049800,,0.62000,0.79
215,HD 103774,b,Radial Velocity,1,5.88810000,0.070000,,0.36700,1.33
216,HD 104067,b,Radial Velocity,1,55.80600000,0.264300,,0.18600,
217,HD 10442,b,Radial Velocity,1,1043.00000000,2.335000,,2.10000,1.56
218,HD 104985,b,Radial Velocity,1,199.50500000,0.950000,,8.30000,
219,HD 106252,b,Radial Velocity,1,1531.00000000,2.611000,,6.92000,
220,HD 106270,b,Radial Velocity,1,2890.00000000,4.300000,,11.00000,
221,HD 10647,b,Radial Velocity,1,989.20000000,2.015000,,0.94000,1.11
222,HD 106515 A,b,Radial Velocity,1,3630.00000000,4.590000,,9.61000,0.97
223,HD 106906,b,Imaging,1,,650.000000,11.00000,,1.50
224,HD 10697,b,Radial Velocity,1,1075.20000000,2.131000,,6.21000,
225,HD 107148,b,Radial Velocity,1,48.05600000,0.269000,,0.21000,
226,HD 108147,b,Radial Velocity,1,10.89850000,0.102000,,0.26100,
227,HD 108341,b,Radial Velocity,1,1129.00000000,2.000000,,3.50000,0.84
228,HD 108863,b,Radial Velocity,1,443.40000000,1.400000,,2.60000,
229,HD 108874,b,Radial Velocity,2,395.80000000,1.038000,,1.29000,
230,HD 108874,c,Radial Velocity,2,1624.00000000,2.659000,,0.99000,
231,HD 109246,b,Radial Velocity,1,68.27000000,0.330000,,0.77000,
232,HD 109271,b,Radial Velocity,2,7.85430000,0.079000,,0.05400,1.05
233,HD 109271,c,Radial Velocity,2,30.93000000,0.196000,,0.07600,1.05
234,HD 109749,b,Radial Velocity,1,5.24000000,0.063500,,0.28000,1.20
235,HD 110014,b,Radial Velocity,1,835.47700000,2.140000,,11.09000,
236,HD 111232,b,Radial Velocity,1,1143.00000000,1.970000,,6.80000,0.78
237,HD 113337,b,Radial Velocity,1,324.00000000,0.920000,,2.83000,1.40
238,HD 113538,b,Radial Velocity,2,663.20000000,1.240000,,0.36000,0.58
239,HD 113538,c,Radial Velocity,2,1818.00000000,2.440000,,0.93000,0.58
240,HD 114386,b,Radial Velocity,1,937.70000000,1.650000,,1.24000,0.68
241,HD 114613,b,Radial Velocity,1,3827.00000000,5.160000,,0.48000,1.36
242,HD 114729,b,Radial Velocity,1,1114.00000000,2.110000,,0.95000,
243,HD 114762,b,Radial Velocity,1,83.88800000,0.363000,,11.68000,
244,HD 114783,b,Radial Velocity,1,493.70000000,1.160000,,1.10000,
245,HD 11506,b,Radial Velocity,2,1627.50000000,2.708000,,4.21000,1.24
246,HD 11506,c,Radial Velocity,2,223.60000000,0.721000,,0.36000,1.24
247,HD 116029,b,Radial Velocity,1,670.00000000,1.780000,,2.10000,
248,HD 117207,b,Radial Velocity,1,2597.00000000,3.790000,,1.88000,
249,HD 117618,b,Radial Velocity,1,25.82700000,0.176000,,0.17800,
250,HD 118203,b,Radial Velocity,1,6.13350000,0.070000,,2.13000,
251,HD 11964,b,Radial Velocity,2,1945.00000000,3.160000,,0.62200,
252,HD 11964,c,Radial Velocity,2,37.91000000,0.229000,,0.07880,
253,HD 11977,b,Radial Velocity,1,711.00000000,1.930000,,6.54000,
254,HD 120084,b,Radial Velocity,1,2082.00000000,4.300000,,4.50000,2.39
255,HD 121504,b,Radial Velocity,1,63.33000000,0.330000,,1.22000,1.18
256,HD 125595,b,Radial Velocity,1,9.67370000,0.080900,,0.04100,
257,HD 125612,b,Radial Velocity,3,559.40000000,1.370000,,3.00000,1.09
258,HD 125612,c,Radial Velocity,3,4.15470000,0.050000,,0.05800,1.09
259,HD 125612,d,Radial Velocity,3,3008.00000000,4.200000,,7.20000,1.09
260,HD 12661,b,Radial Velocity,2,262.70900000,0.831000,,2.30000,
261,HD 12661,c,Radial Velocity,2,1708.00000000,2.900000,,1.92000,
262,HD 126614,b,Radial Velocity,1,1244.00000000,2.350000,,0.38000,1.15
263,HD 128311,b,Radial Velocity,2,453.01900000,1.084000,,1.76900,0.83
264,HD 128311,c,Radial Velocity,2,921.53800000,1.740000,3.78900,3.12500,0.83
265,HD 129445,b,Radial Velocity,1,1840.00000000,2.900000,,1.60000,
266,HD 130322,b,Radial Velocity,1,10.70871000,0.092500,,1.15000,0.92
267,HD 131496,b,Radial Velocity,1,883.00000000,2.090000,,2.20000,
268,HD 131664,b,Radial Velocity,1,1951.00000000,3.170000,,18.15000,1.10
269,HD 13189,b,Radial Velocity,1,471.60000000,1.850000,,14.00000,
270,HD 132406,b,Radial Velocity,1,974.00000000,1.980000,,5.61000,
271,HD 132563,b,Radial Velocity,1,1544.00000000,2.620000,,1.49000,
272,HD 134987,b,Radial Velocity,2,258.19000000,0.810000,,1.59000,
273,HD 134987,c,Radial Velocity,2,5000.00000000,5.800000,,0.82000,
274,HD 136418,b,Radial Velocity,1,464.30000000,1.320000,,2.00000,1.33
275,HD 137388 A,b,Radial Velocity,1,330.00000000,0.890000,,0.22300,0.86
276,HD 13908,b,Radial Velocity,2,19.38200000,0.154000,,0.86500,1.29
277,HD 13908,c,Radial Velocity,2,931.00000000,2.030000,,5.13000,1.29
278,HD 13931,b,Radial Velocity,1,4218.00000000,5.150000,,1.88000,1.02
279,HD 139357,b,Radial Velocity,1,1125.70000000,2.360000,,9.76000,1.35
280,HD 14067,b,Radial Velocity,1,1455.00000000,3.400000,,7.80000,2.40
281,HD 141937,b,Radial Velocity,1,653.22000000,1.520000,,9.70000,
282,HD 142,b,Radial Velocity,2,349.70000000,1.020000,,1.25000,1.23
283,HD 142,c,Radial Velocity,2,6005.00000000,6.800000,,5.30000,1.23
284,HD 142022 A,b,Radial Velocity,1,1928.00000000,3.030000,,5.10000,
285,HD 142245,b,Radial Velocity,1,1299.00000000,2.770000,,1.90000,
286,HD 142415,b,Radial Velocity,1,386.30000000,1.050000,,1.62000,1.03
287,HD 143361,b,Radial Velocity,1,1057.00000000,2.000000,,3.12000,
288,HD 145377,b,Radial Velocity,1,103.95000000,0.450000,,5.76000,1.12
289,HD 145457,b,Radial Velocity,1,176.30000000,0.760000,,2.90000,1.90
290,HD 145934,b,Radial Velocity,1,2730.00000000,4.600000,,2.28000,1.75
291,HD 1461,b,Radial Velocity,1,5.77270000,0.063438,,0.02400,1.02
292,HD 147018,b,Radial Velocity,2,44.23600000,0.238800,,2.12000,
293,HD 147018,c,Radial Velocity,2,1008.00000000,1.922000,,6.56000,
294,HD 147513,b,Radial Velocity,1,528.40000000,1.320000,,1.21000,1.11
295,HD 148156,b,Radial Velocity,1,1027.00000000,2.450000,,0.85000,1.22
296,HD 148427,b,Radial Velocity,1,331.50000000,0.930000,,0.96000,
297,HD 149026,b,Radial Velocity,1,2.87589110,,0.36800,,1.34
298,HD 149143,b,Radial Velocity,1,4.07200000,0.053000,,1.33000,1.21
299,HD 1502,b,Radial Velocity,1,431.80000000,1.310000,,3.10000,
300,HD 150706,b,Radial Velocity,1,5894.00000000,6.700000,,2.71000,1.17
301,HD 152079,b,Radial Velocity,1,2097.00000000,3.200000,,3.00000,
302,HD 152581,b,Radial Velocity,1,689.00000000,1.480000,,1.50000,
303,HD 153950,b,Radial Velocity,1,499.40000000,1.280000,,2.73000,1.12
304,HD 154345,b,Radial Velocity,1,3342.00000000,4.190000,,0.94700,
305,HD 154672,b,Radial Velocity,1,163.90000000,0.600000,,5.02000,
306,HD 154857,b,Radial Velocity,2,408.60000000,1.291000,,2.24000,1.72
307,HD 154857,c,Radial Velocity,2,3452.00000000,5.360000,,2.58000,1.72
308,HD 155358,b,Radial Velocity,2,194.30000000,0.640000,,0.85000,
309,HD 155358,c,Radial Velocity,2,391.90000000,1.020000,,0.82000,
310,HD 156279,b,Radial Velocity,1,131.05000000,0.495000,,9.71000,
311,HD 156411,b,Radial Velocity,1,842.20000000,1.880000,,0.74000,1.25
312,HD 156668,b,Radial Velocity,1,4.64550000,0.050000,,0.01300,
313,HD 156846,b,Radial Velocity,1,359.55460000,1.096000,,10.57000,
314,HD 158038,b,Radial Velocity,1,521.00000000,1.520000,,1.80000,
315,HD 159243,b,Radial Velocity,2,12.62000000,0.110000,,1.13000,1.12
316,HD 159243,c,Radial Velocity,2,248.40000000,0.800000,,1.90000,1.12
317,HD 159868,b,Radial Velocity,2,1178.40000000,2.250000,,2.10000,
318,HD 159868,c,Radial Velocity,2,352.30000000,1.000000,,0.73000,
319,HD 1605,b,Radial Velocity,2,577.90000000,1.480000,,0.96000,1.31
320,HD 1605,c,Radial Velocity,2,2111.00000000,3.520000,,3.48000,1.31
321,HD 160691,b,Radial Velocity,4,643.25000000,1.497000,,1.08000,1.08
322,HD 160691,c,Radial Velocity,4,4205.80000000,5.235000,,1.81400,1.08
323,HD 160691,d,Radial Velocity,4,9.63860000,0.090940,,0.03321,1.08
324,HD 160691,e,Radial Velocity,4,310.55000000,0.921000,,0.52190,1.08
325,HD 16141,b,Radial Velocity,1,75.52300000,0.363000,,0.26000,
326,HD 16175,b,Radial Velocity,1,990.00000000,2.100000,,4.40000,1.29
327,HD 162020,b,Radial Velocity,1,8.42819800,0.074000,,14.40000,
328,HD 163607,b,Radial Velocity,2,75.29000000,0.360000,,0.77000,1.09
329,HD 163607,c,Radial Velocity,2,1314.00000000,2.420000,,2.29000,1.09
330,HD 16417,b,Radial Velocity,1,17.24000000,0.140000,,0.06960,
331,HD 164509,b,Radial Velocity,1,282.40000000,0.875000,,0.48000,1.13
332,HD 164595,b,Radial Velocity,1,40.00000000,0.230000,,0.05078,0.99
